"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719018090000,11,11,1,26,undefined,22,105,49,7,6,18,6,7,34,122,undefined,43,19,16
1719018120000,12,11,1,58,undefined,23,105,93,7,6,32,6,5,34,122,undefined,33,23,17
1719018150000,16,16,1,46,undefined,22,99,86,7,6,29,6,4,34,122,undefined,32,19,17
1719018180000,12,15,1,43,undefined,23,110,279,7,6,77,6,4,34,122,undefined,49,43,17
1719018210000,10,14,1,49,undefined,22,110,286,7,7,56,6,5,34,122,undefined,20,33,17
1719018240000,12,14,1,28,undefined,22,109,188,7,6,52,6,5,34,122,undefined,19,28,17
1719018270000,11,15,1,19,undefined,23,104,357,7,6,55,6,6,34,122,undefined,16,30,16
1719018300000,14,17,1,28,undefined,22,104,122,7,6,61,6,4,34,122,undefined,19,30,16
1719018330000,11,13,1,14,undefined,22,109,167,7,6,41,6,4,34,122,undefined,14,23,16
1719018360000,11,14,1,13,undefined,23,107,138,7,6,38,6,5,34,122,undefined,15,25,15
1719018390000,10,9,1,12,undefined,22,105,207,7,6,34,7,4,34,122,undefined,16,20,15
1719018420000,14,10,1,26,undefined,22,105,310,7,6,33,7,5,34,122,undefined,16,48,15
1719018450000,12,10,1,27,undefined,23,108,103,7,6,21,7,5,34,122,undefined,16,28,15
1719018480000,8,13,1,20,undefined,22,104,114,7,6,16,7,6,34,122,undefined,12,29,15
1719018510000,9,11,1,17,undefined,21,104,41,7,6,26,7,4,34,122,undefined,15,34,14
1719018540000,10,12,1,12,undefined,22,104,63,7,6,21,7,6,34,122,undefined,14,23,15
1719018570000,11,12,1,15,undefined,22,104,66,7,6,24,7,4,34,122,4,13,21,15
1719018600000,11,17,1,19,undefined,22,109,42,7,6,19,7,4,34,122,4,9,23,15
1719018630000,16,18,1,33,10,24,109,104,7,6,19,7,6,34,122,5,14,23,15
1719018660000,9,17,1,41,11,23,111,51,7,7,31,7,4,34,122,6,13,13,15
1719018690000,13,15,1,21,11,23,109,71,7,6,20,7,5,34,122,58,13,12,15
1719018720000,11,14,1,21,undefined,23,105,34,7,6,32,7,5,34,122,undefined,11,9,15
1719018750000,11,14,1,15,undefined,23,107,59,7,6,21,7,6,34,122,undefined,10,14,16
1719018780000,11,24,1,16,undefined,22,111,60,7,6,26,7,5,34,122,undefined,9,10,16
1719018810000,12,23,1,14,undefined,23,108,67,7,6,20,7,4,34,122,undefined,13,13,16
1719018840000,11,23,1,25,undefined,22,108,112,7,7,19,7,4,34,122,undefined,13,9,16
1719018870000,12,23,1,18,undefined,22,101,35,7,6,9,7,5,34,122,undefined,12,4,16
1719018900000,12,44,1,27,undefined,23,103,48,7,7,10,7,5,34,122,undefined,12,5,16
1719018930000,12,44,1,27,undefined,23,103,47,7,7,10,7,4,34,122,undefined,12,5,16
1719018960000,undefined,undefined,1,undefined,undefined,23,103,840,7,8,29,7,4,34,122,undefined,12,undefined,17
1719018990000,undefined,undefined,1,undefined,undefined,21,105,840,5,8,undefined,7,5,34,122,undefined,undefined,undefined,16
1719019020000,undefined,undefined,1,undefined,undefined,20,108,724,5,8,undefined,7,6,34,122,undefined,undefined,undefined,16
1719019050000,undefined,undefined,1,undefined,undefined,20,108,724,7,8,undefined,7,4,34,122,undefined,undefined,undefined,16
1719019080000,undefined,undefined,1,undefined,undefined,20,108,637,7,8,undefined,7,4,34,122,undefined,undefined,undefined,16
1719019110000,undefined,undefined,1,undefined,undefined,18,98,509,7,8,undefined,7,6,34,122,undefined,undefined,undefined,15
1719019140000,undefined,undefined,1,undefined,undefined,18,100,434,7,8,undefined,7,6,34,122,undefined,undefined,undefined,15
