"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","queue-proxy","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total"
1719017940000,12,4,0,9,0,34,74,6,0,3,11,12,22,33,2,0,1,15,6,11
1719017970000,22,5,0,9,0,33,undefined,3,0,2,6,12,8,23,6,0,0,14,5,7
1719018000000,19,5,0,13,undefined,9,132,6,0,3,7,30,9,34,7,0,0,12,6,8
1719018030000,20,3,0,12,undefined,30,118,4,0,3,6,22,12,31,2,0,undefined,23,3,8
1719018060000,22,4,0,13,undefined,23,68,11,0,3,10,28,12,32,2,0,undefined,26,11,10
1719018090000,19,4,0,14,undefined,8,63,3,0,2,7,12,7,29,7,1,undefined,28,4,6
1719018120000,22,3,0,28,undefined,47,80,5,0,3,11,30,12,33,7,0,undefined,29,5,11
1719018150000,22,6,0,27,undefined,38,63,5,0,3,14,27,7,32,2,undefined,undefined,30,4,8
1719018180000,18,5,0,18,undefined,40,122,27,0,3,20,64,7,28,2,0,undefined,26,10,11
1719018210000,18,7,0,34,undefined,35,undefined,33,0,2,26,69,23,30,7,0,undefined,31,8,19
1719018240000,21,6,0,28,undefined,26,undefined,8,0,3,18,34,9,31,7,0,undefined,31,11,10
1719018270000,18,5,0,26,undefined,9,107,28,0,3,24,52,15,30,8,0,undefined,31,11,13
1719018300000,19,8,0,30,undefined,44,53,9,0,3,18,31,24,31,4,0,undefined,29,9,17
1719018330000,25,7,0,10,undefined,37,undefined,20,0,2,25,31,19,31,3,0,undefined,32,9,15
1719018360000,21,6,0,13,undefined,39,108,19,0,3,22,62,28,30,6,0,undefined,17,13,20
1719018390000,18,3,0,10,undefined,39,107,14,0,3,19,43,24,33,6,0,undefined,31,8,18
1719018420000,24,4,0,9,undefined,8,undefined,37,0,3,27,49,10,32,6,0,undefined,33,26,10
1719018450000,22,4,0,9,undefined,7,undefined,7,0,1,22,33,4,31,4,1,undefined,34,20,6
1719018480000,16,5,0,8,undefined,33,89,14,0,3,16,50,10,32,5,0,undefined,33,20,11
1719018510000,17,4,0,10,undefined,23,65,5,0,3,30,23,19,30,7,0,undefined,30,21,13
1719018540000,20,4,0,4,undefined,8,undefined,8,0,2,22,30,20,29,7,0,undefined,29,25,13
1719018570000,21,3,0,6,undefined,31,96,19,0,3,23,32,17,30,6,0,undefined,35,23,14
1719018600000,10,5,0,5,undefined,21,124,7,0,2,10,25,12,28,8,0,0,27,20,10
1719018630000,21,4,0,5,1,8,105,11,0,3,20,12,15,34,1,0,1,20,22,9
1719018660000,18,6,0,3,0,31,undefined,8,0,1,10,10,7,30,2,0,1,12,19,7
1719018690000,17,3,0,5,0,18,74,12,0,2,23,17,5,30,4,0,0,15,18,7
1719018720000,18,3,0,2,undefined,23,84,5,0,2,19,21,15,31,2,undefined,undefined,10,20,10
1719018750000,11,3,0,2,undefined,26,96,2,0,2,28,26,11,26,6,0,undefined,10,22,9
1719018780000,18,5,0,4,undefined,25,81,10,0,1,19,32,13,27,7,1,undefined,17,13,11
1719018810000,24,6,0,2,undefined,24,80,9,0,2,24,23,4,31,6,0,undefined,13,20,8
1719018840000,18,4,0,3,undefined,6,51,15,0,2,26,29,4,34,5,0,undefined,16,19,7
1719018870000,19,3,0,1,undefined,4,undefined,0,0,2,2,18,10,31,undefined,0,undefined,15,3,4
1719018900000,0,3,0,0,undefined,5,47,1,0,0,0,8,11,31,1,0,undefined,0,0,5
1719018930000,0,0,0,0,undefined,0,1,0,0,0,0,4,2,26,1,0,undefined,0,0,1
1719018960000,undefined,undefined,0,undefined,undefined,0,1,2,0,0,undefined,5,6,33,1,1,undefined,undefined,undefined,4
1719018990000,undefined,undefined,0,undefined,undefined,0,1,0,0,0,undefined,undefined,1,33,1,0,undefined,undefined,undefined,1
1719019020000,undefined,undefined,0,undefined,undefined,0,4,0,0,0,undefined,undefined,5,33,1,0,undefined,undefined,undefined,3
1719019050000,undefined,undefined,0,undefined,undefined,0,1,0,1,0,undefined,5,8,30,1,0,undefined,undefined,undefined,5
1719019080000,undefined,undefined,0,undefined,undefined,0,0,0,0,0,undefined,5,6,32,1,1,undefined,undefined,undefined,4
1719019110000,undefined,undefined,0,undefined,undefined,1,3,0,0,0,undefined,6,4,29,1,0,undefined,undefined,undefined,3
1719019140000,undefined,undefined,0,undefined,undefined,0,2,0,0,0,undefined,5,8,31,0,0,undefined,undefined,undefined,5
