"Time","city-pole-00002","city-pole-00004","event-store-00002","ngsi-ld-city-airqualityobserved-00002","ngsi-ld-city-airqualityobserved-00004","ngsi-ld-city-crowdflowobserved-00002","ngsi-ld-city-crowdflowobserved-00004","ngsi-ld-city-device-00004","ngsi-ld-city-offstreetparking-00004","ngsi-ld-city-parkingspot-00004","ngsi-ld-city-streetlight-00004","ngsi-ld-city-trafficflowobserved-00002","ngsi-ld-city-trafficflowobserved-00004","ngsi-ld-city-weatherobserved-00002","ngsi-ld-city-weatherobserved-00004","All Revisions"
1719028890000,undefined,2.1,201667.99,undefined,30241.88,undefined,34369.184,1384.182,1406.582,1406.582,532.007,undefined,53781.366,undefined,5781.724,330573.596
1719028920000,undefined,2.1,206359.388,undefined,30996.011,undefined,34859.646,2116.483,1410.749,1410.749,530.687,undefined,55292.876,undefined,5781.724,338760.414
1719028950000,undefined,2.1,210940.75,undefined,31746.038,undefined,35094.394,3535.6,1409.833,1409.833,794.208,undefined,56019.933,undefined,5781.724,346734.412
1719028980000,undefined,2.1,213642.136,undefined,32494.018,undefined,35329.885,3527.74,1413.061,1413.061,792.524,undefined,56746.036,undefined,5781.724,351142.285
1719029010000,undefined,2.1,216350.112,undefined,33246.09,undefined,35566.068,3520.469,1413.254,1413.254,790.964,undefined,57477.324,undefined,5781.724,355561.361
1719029040000,undefined,2.1,219032.804,undefined,33992.024,undefined,35802.894,3513.725,1412.463,1412.463,789.515,undefined,58201.298,undefined,5781.724,359941.009
1719029070000,undefined,2.1,221763.686,undefined,34745.115,undefined,36040.319,3507.451,1416.823,1416.823,788.165,undefined,58936.521,undefined,5781.724,364398.727
1719029100000,undefined,2.1,224466.949,undefined,35494.116,undefined,36278.303,3501.601,1416.1,1416.1,786.904,undefined,59668.446,undefined,5781.724,368812.342
1719029130000,undefined,2.1,227165.993,undefined,36242.096,undefined,36516.81,3496.133,1415.409,1415.409,785.723,undefined,60397.027,undefined,5781.724,373218.424
1719029160000,undefined,2.1,229308.539,undefined,36683.884,undefined,36700.667,3491.01,1414.748,1414.748,784.616,undefined,61105.715,undefined,5781.724,376687.752
1719029190000,undefined,2.1,229247.51,undefined,36668.866,undefined,36684.985,3486.201,1414.115,1414.115,783.576,undefined,61100.6,undefined,5781.724,376583.792
1719029220000,undefined,2.1,229156.591,undefined,36654.448,undefined,36669.943,3481.678,1413.508,1413.508,782.596,undefined,61063.037,undefined,5781.724,376419.134
1719029250000,undefined,2.1,229069.24,undefined,36640.596,undefined,36655.502,3477.417,1412.926,1412.926,781.672,undefined,61026.976,undefined,5781.724,376261.08
1719029280000,undefined,2.1,228985.251,undefined,36627.277,undefined,36641.628,3473.394,1412.368,1412.368,780.799,undefined,60992.33,undefined,5781.724,376109.239
1719029310000,undefined,2.1,228904.433,undefined,36614.461,undefined,36628.288,3469.591,1411.831,1411.831,779.973,undefined,60959.016,undefined,5781.724,375963.248
1719029340000,undefined,2.1,228826.612,undefined,36602.119,undefined,36615.451,3465.99,1411.315,1411.315,779.19,undefined,60926.959,undefined,5781.724,375822.775
1719029370000,undefined,2.1,228751.622,undefined,36590.226,undefined,36603.09,3462.575,1410.819,1410.819,778.447,undefined,60896.089,undefined,5781.724,375687.51
1719029400000,undefined,2.1,228679.312,undefined,36578.757,undefined,36591.178,3459.332,1410.34,1410.34,777.741,undefined,60866.342,undefined,5781.724,375557.168
1719029430000,undefined,2.1,228609.541,undefined,36567.691,undefined,36579.692,3456.249,1409.88,1409.88,777.069,undefined,60837.657,undefined,5781.724,375431.484
