"Time","air-quality-observed","city-pole","cloud-event-dispatcher","crowd-flow-observed","device","dispatcher","ingress","ktwin-event-store-v1","ktwin-graph-store","mqtt-dispatcher","neighborhood","rabbitmq","redis","scylla","scylla-manager-agent","streetlight","traffic-flow-observed","weather-observed","Total Memory Usage"
1719020910000,943718400,343932928,134217728,734003200,undefined,939524096,33554432,2684354560,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,209715200,943718400,77719481600
1719020940000,629145600,411041792,134217728,734003200,undefined,939524096,33554432,2281701376,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,1258291200,1468006400,78642228480
1719020970000,629145600,411041792,134217728,1153433600,undefined,939524096,33554432,2281701376,1073741824,134217728,201326592,51539607552,402653184,17179869184,20000000,undefined,1153433600,629145600,77916613888
1719021000000,1468006400,411041792,134217728,524288000,undefined,939524096,33554432,2281701376,1073741824,134217728,201326592,51539607552,402653184,17179869184,20000000,undefined,1363148800,838860800,78545759488
1719021030000,943718400,343932928,134217728,524288000,undefined,939524096,33554432,1476395008,1073741824,134217728,201326592,51539607552,402653184,17179869184,20000000,undefined,314572800,524288000,75785907456
1719021060000,1677721600,343932928,134217728,1363148800,undefined,939524096,33554432,3489660928,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,419430400,524288000,79678221568
1719021090000,838860800,343932928,134217728,943718400,undefined,939524096,33554432,2281701376,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,838860800,1153433600,78126329088
1719021120000,838860800,448790528,134217728,943718400,undefined,939524096,33554432,2281701376,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,1073741824,524288000,943718400,78780640512
1719021150000,838860800,343932928,134217728,524288000,1207959552,939524096,33554432,1073741824,1073741824,134217728,469762048,51539607552,402653184,17179869184,20000000,1073741824,524288000,1572864000,79086824704
1719021180000,1048576000,553648128,134217728,1258291200,1207959552,939524096,33554432,1879048192,1073741824,134217728,536870912,51539607552,402653184,17179869184,20000000,1073741824,1887436800,1153433600,82056391936
1719021210000,1048576000,658505728,134217728,1258291200,1207959552,939524096,33554432,2013265920,1073741824,134217728,671088640,51539607552,402653184,17179869184,20000000,805306368,1468006400,1153433600,81741819136
1719021240000,1258291200,343932928,134217728,1258291200,1207959552,939524096,33554432,671088640,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,134217728,1992294400,524288000,79116184832
1719021270000,943718400,658505728,134217728,419430400,undefined,939524096,33554432,2281701376,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,1048576000,524288000,77669149952
1719021300000,524288000,448790528,134217728,419430400,undefined,939524096,33554432,2281701376,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,734003200,1153433600,77287468288
1719021330000,1363148800,553648128,134217728,419430400,undefined,939524096,33554432,3623878656,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,838860800,734003200,79258791168
1719021360000,943718400,343932928,134217728,419430400,undefined,939524096,33554432,1879048192,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,314572800,734003200,76360527104
1719021390000,1782579200,343932928,134217728,419430400,undefined,939524096,33554432,2415919104,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,419430400,1363148800,78537370880
1719021420000,943718400,343932928,134217728,838860800,undefined,939524096,33554432,1610612736,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,209715200,734003200,76540882176
1719021450000,943718400,448790528,134217728,524288000,undefined,939524096,33554432,1610612736,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,524288000,1258291200,77170027776
1719021480000,629145600,763363328,134217728,1153433600,undefined,939524096,33554432,2818572288,1073741824,134217728,805306368,51539607552,402653184,17179869184,20000000,undefined,419430400,629145600,78675782912
1719021510000,419430400,553648128,134217728,734003200,undefined,939524096,33554432,1879048192,1073741824,134217728,536870912,51539607552,402653184,17179869184,20000000,undefined,734003200,1048576000,77362965760
1719021540000,1468006400,763363328,134217728,734003200,undefined,939524096,33554432,3758096384,1073741824,134217728,738197504,51539607552,402653184,17179869184,20000000,undefined,419430400,524288000,79862770944
1719021570000,1153433600,448790528,134217728,734003200,undefined,939524096,33554432,2415919104,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,524288000,524288000,77593652480
1719021600000,1258291200,448790528,134217728,524288000,undefined,939524096,33554432,2415919104,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,419430400,838860800,77698510080
1719021630000,314572800,658505728,134217728,1258291200,undefined,939524096,33554432,3355443200,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,419430400,734003200,78600285440
1719021660000,629145600,658505728,134217728,838860800,undefined,939524096,33554432,1879048192,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,419430400,1572864000,77857893632
1719021690000,943718400,763363328,134217728,1782579200,undefined,939524096,33554432,3623878656,1073741824,134217728,603979776,51539607552,402653184,17179869184,20000000,undefined,943718400,943718400,81062341888
1719021720000,943718400,343932928,134217728,1048576000,undefined,939524096,33554432,2415919104,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,943718400,1677721600,79233625344
1719021750000,1782579200,658505728,134217728,1048576000,undefined,939524096,33554432,3623878656,1073741824,134217728,671088640,51539607552,402653184,17179869184,20000000,undefined,1363148800,838860800,81444023552
1719021780000,943718400,448790528,134217728,1363148800,undefined,939524096,33554432,1879048192,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,524288000,838860800,77857893632
1719021810000,1048576000,448790528,134217728,419430400,undefined,939524096,33554432,1879048192,1073741824,134217728,402653184,51539607552,402653184,17179869184,20000000,undefined,734003200,1048576000,77438463232
1719021840000,314572800,239075328,134217728,943718400,undefined,939524096,33554432,2147483648,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,939524096,314572800,419430400,76909980928
1719021870000,734003200,343932928,134217728,734003200,1207959552,939524096,33554432,1744830464,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,939524096,314572800,1258291200,79070047488
1719021900000,1153433600,658505728,134217728,838860800,1207959552,939524096,33554432,3221225472,1073741824,134217728,469762048,51539607552,402653184,17179869184,20000000,1006632960,1258291200,1572864000,82844921088
1719021930000,1153433600,658505728,134217728,1782579200,1207959552,939524096,33554432,2281701376,1073741824,134217728,469762048,51539607552,402653184,17179869184,20000000,469762048,1048576000,1677721600,82207386880
1719021960000,1363148800,1317011456,134217728,1048576000,1207959552,939524096,33554432,2818572288,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,134217728,1048576000,524288000,81255279872
1719021990000,314572800,830472192,134217728,1048576000,undefined,939524096,33554432,1879048192,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,314572800,419430400,76599602432
1719022020000,314572800,830472192,134217728,1048576000,undefined,939524096,33554432,1879048192,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,314572800,1258291200,77438463232
1719022050000,629145600,784334848,134217728,1048576000,undefined,939524096,33554432,2818572288,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,524288000,943718400,78541565184
1719022080000,629145600,583008256,134217728,1048576000,undefined,939524096,33554432,1610612736,1073741824,134217728,268435456,51539607552,402653184,17179869184,20000000,undefined,314572800,2202009600,78113746176
1719022110000,629145600,583008256,134217728,629145600,undefined,939524096,33554432,1610612736,1073741824,134217728,335544320,51539607552,402653184,17179869184,20000000,undefined,314572800,1363148800,76922563840
1719022140000,314572800,679477248,134217728,629145600,undefined,939524096,33554432,536870912,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,314572800,1363148800,75429391616
1719022170000,314572800,411041792,134217728,629145600,undefined,939524096,33554432,402653184,1073741824,134217728,134217728,51539607552,402653184,17179869184,20000000,undefined,314572800,1363148800,75026738432
1719022200000,314572800,411041792,134217728,104857600,undefined,939524096,33554432,268435456,1073741824,134217728,67108864,51539607552,402653184,17179869184,20000000,undefined,314572800,104857600,73042832640
1719022230000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719022260000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719022290000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719022320000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719022350000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
1719022380000,undefined,undefined,134217728,undefined,undefined,939524096,33554432,134217728,1073741824,134217728,undefined,51539607552,402653184,17179869184,20000000,undefined,undefined,undefined,71591603456
